"","gamma_prime","n_unobservable","reps","gamma_dblprime","Nhat","p","fit"
"46771",0.9,75,1949,0.1,109.62954549272,0.197635286813311,0
"46772",0.85,75,1949,0.15,77.3927494294445,0.236886962518978,0
"46773",0.8,75,1949,0.2,126.295146066632,0.158359213500177,0
"46774",0.75,75,1949,0.25,148.891073215007,0.145520253154356,0
"46777",1,10,1950,0,124.20652884342,0.177124344467707,0
"46778",0.95,10,1950,0.05,94.2987423404354,0.194417580637766,0
"46779",0.9,10,1950,0.1,109.131802340248,0.189373456897864,0
"46780",0.85,10,1950,0.15,83.3961678900005,0.227828214182034,0
"46782",0.75,10,1950,0.25,128.713909387052,0.147614194117451,0
"46783",0.7,10,1950,0.3,91.6510741316511,0.207307990441409,0
"46785",1,30,1950,0,106.156111859675,0.20096189432352,0
"46787",0.9,30,1950,0.1,109.058518593768,0.18033132047138,0
"46788",0.85,30,1950,0.15,90.7753482498958,0.198291720682225,0
"46790",0.75,30,1950,0.25,85.0826551014723,0.215476742133505,0
"46791",0.7,30,1950,0.3,101.6235235414,0.177124344613645,0
"46792",0.65,30,1950,0.35,112.809631470939,0.186154317928378,0
"46793",1,75,1950,0,73.6135380694183,0.253576545241772,0
"46794",0.95,75,1950,0.05,98.8300695274465,0.225977108385328,0
"46796",0.85,75,1950,0.15,132.107321677773,0.17157767168998,0
"46797",0.8,75,1950,0.2,148.891073215104,0.145520253154229,0
"46798",0.75,75,1950,0.25,184.789013796131,0.12266241483342,0
"46799",0.7,75,1950,0.3,70.3977031369957,0.269895169207958,0
"46802",0.95,10,1951,0.05,85.3651562551316,0.261621184954975,0
"46805",0.8,10,1951,0.2,74.4742549587032,0.241694260788301,0
"46809",1,30,1951,0,89.7683880912709,0.271067954440629,0
"46811",0.9,30,1951,0.1,109.058518593532,0.180331320471948,0
"46813",0.8,30,1951,0.2,90.3320209770335,0.177124344467705,0
"46816",0.65,30,1951,0.35,139.630552696902,0.15039688373637,0
"46817",1,75,1951,0,109.551238827814,0.170392109358123,0
"46819",0.9,75,1951,0.1,133.395080385172,0.144932881164228,0
"46820",0.85,75,1951,0.15,121.998104607052,0.16120469026967,0
"46822",0.75,75,1951,0.25,140.250419231731,0.166369080828067,0
