"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0","1"
"269","30-60","0.02-0.04",0.2,"10-20",0.0436681222707424,0.956331877729258
"270","30-60","0.02-0.04",0.2,"20-30",0.0121457489878543,0.987854251012146
"271","30-60","0.02-0.04",0.2,"30-40",0,1
"272","30-60","0.02-0.04",0.2,"40-50",0,1
"273","30-60","0.02-0.04",0.25,"2-3",0.4,0.6
"274","30-60","0.02-0.04",0.25,"3-4",0.272727272727273,0.727272727272727
"275","30-60","0.02-0.04",0.25,"4-5",0.272727272727273,0.727272727272727
"276","30-60","0.02-0.04",0.25,"5-10",0.102362204724409,0.897637795275591
"277","30-60","0.02-0.04",0.25,"10-20",0.0328638497652582,0.967136150234742
"278","30-60","0.02-0.04",0.25,"20-30",0,1
"279","30-60","0.02-0.04",0.25,"30-40",0,1
"280","30-60","0.02-0.04",0.25,"40-50",0,1
"281","30-60","0.04-0.06",0.05,"2-3",0.814814814814815,0.185185185185185
"282","30-60","0.04-0.06",0.05,"3-4",0.545454545454545,0.454545454545455
"283","30-60","0.04-0.06",0.05,"4-5",0.793103448275862,0.206896551724138
"284","30-60","0.04-0.06",0.05,"5-10",0.445454545454545,0.554545454545455
"285","30-60","0.04-0.06",0.05,"10-20",0.274774774774775,0.725225225225225
"286","30-60","0.04-0.06",0.05,"20-30",0.204166666666667,0.795833333333333
"287","30-60","0.04-0.06",0.05,"30-40",0.177489177489178,0.822510822510823
"288","30-60","0.04-0.06",0.05,"40-50",0.147321428571429,0.852678571428571
"289","30-60","0.04-0.06",0.1,"2-3",0.660377358490566,0.339622641509434
"290","30-60","0.04-0.06",0.1,"3-4",0.514285714285714,0.485714285714286
"291","30-60","0.04-0.06",0.1,"4-5",0.333333333333333,0.666666666666667
"292","30-60","0.04-0.06",0.1,"5-10",0.194690265486726,0.805309734513274
"293","30-60","0.04-0.06",0.1,"10-20",0.124444444444444,0.875555555555556
"294","30-60","0.04-0.06",0.1,"20-30",0.0551181102362205,0.94488188976378
"295","30-60","0.04-0.06",0.1,"30-40",0.0185873605947955,0.981412639405205
"296","30-60","0.04-0.06",0.1,"40-50",0.0040650406504065,0.995934959349594
"297","30-60","0.04-0.06",0.15,"2-3",0.444444444444444,0.555555555555556
"298","30-60","0.04-0.06",0.15,"3-4",0.352941176470588,0.647058823529412
"299","30-60","0.04-0.06",0.15,"4-5",0.217391304347826,0.782608695652174
"300","30-60","0.04-0.06",0.15,"5-10",0.101351351351351,0.898648648648649
"301","30-60","0.04-0.06",0.15,"10-20",0.0374149659863946,0.962585034013605
"302","30-60","0.04-0.06",0.15,"20-30",0,1
"303","30-60","0.04-0.06",0.15,"30-40",0,1
"304","30-60","0.04-0.06",0.15,"40-50",0,1
"305","30-60","0.04-0.06",0.2,"2-3",0.377358490566038,0.622641509433962
"306","30-60","0.04-0.06",0.2,"3-4",0.24,0.76
"307","30-60","0.04-0.06",0.2,"4-5",0.0625,0.9375
"308","30-60","0.04-0.06",0.2,"5-10",0.0672268907563025,0.932773109243697
"309","30-60","0.04-0.06",0.2,"10-20",0,1
"310","30-60","0.04-0.06",0.2,"20-30",0.0045662100456621,0.995433789954338
"311","30-60","0.04-0.06",0.2,"30-40",0,1
"312","30-60","0.04-0.06",0.2,"40-50",0,1
"313","30-60","0.04-0.06",0.25,"2-3",0.183673469387755,0.816326530612245
"314","30-60","0.04-0.06",0.25,"3-4",0.2,0.8
"315","30-60","0.04-0.06",0.25,"4-5",0.0952380952380952,0.904761904761905
"316","30-60","0.04-0.06",0.25,"5-10",0.0327868852459016,0.967213114754098
"317","30-60","0.04-0.06",0.25,"10-20",0.00454545454545455,0.995454545454545
"318","30-60","0.04-0.06",0.25,"20-30",0.00418410041841004,0.99581589958159
"319","30-60","0.04-0.06",0.25,"30-40",0,1
"320","30-60","0.04-0.06",0.25,"40-50",0,1
"321","30-60","0.06-0.08",0.05,"2-3",0.75,0.25
"322","30-60","0.06-0.08",0.05,"3-4",0.461538461538462,0.538461538461538
"323","30-60","0.06-0.08",0.05,"4-5",0.6,0.4
"324","30-60","0.06-0.08",0.05,"5-10",0.343434343434343,0.656565656565657
"325","30-60","0.06-0.08",0.05,"10-20",0.292181069958848,0.707818930041152
"326","30-60","0.06-0.08",0.05,"20-30",0.205020920502092,0.794979079497908
"327","30-60","0.06-0.08",0.05,"30-40",0.123456790123457,0.876543209876543
"328","30-60","0.06-0.08",0.05,"40-50",0.115384615384615,0.884615384615385
"329","30-60","0.06-0.08",0.1,"2-3",0.555555555555556,0.444444444444444
"330","30-60","0.06-0.08",0.1,"3-4",0.4,0.6
"331","30-60","0.06-0.08",0.1,"4-5",0.346153846153846,0.653846153846154
"332","30-60","0.06-0.08",0.1,"5-10",0.122137404580153,0.877862595419847
"333","30-60","0.06-0.08",0.1,"10-20",0.040650406504065,0.959349593495935
"334","30-60","0.06-0.08",0.1,"20-30",0.0169491525423729,0.983050847457627
"335","30-60","0.06-0.08",0.1,"30-40",0.0120481927710843,0.987951807228916
"336","30-60","0.06-0.08",0.1,"40-50",0.0185873605947955,0.981412639405205
"337","30-60","0.06-0.08",0.15,"2-3",0.357142857142857,0.642857142857143
"338","30-60","0.06-0.08",0.15,"3-4",0.142857142857143,0.857142857142857
"339","30-60","0.06-0.08",0.15,"4-5",0.166666666666667,0.833333333333333
"340","30-60","0.06-0.08",0.15,"5-10",0.0865384615384615,0.913461538461538
"341","30-60","0.06-0.08",0.15,"10-20",0.0233463035019455,0.976653696498054
"342","30-60","0.06-0.08",0.15,"20-30",0.00416666666666667,0.995833333333333
"343","30-60","0.06-0.08",0.15,"30-40",0,1
"344","30-60","0.06-0.08",0.15,"40-50",0.00778210116731518,0.992217898832685
